algoritmo;n;tipo;dominio;muestra;tiempo_ms;memoria_kb;correcto
naive;16;dispersa;D0;a;0.024923;2716;1
strassen;16;dispersa;D0;a;0.515194;3104;1
naive;16;dispersa;D0;b;0.005531;2716;1
strassen;16;dispersa;D0;b;0.511527;3104;1
naive;16;dispersa;D0;c;0.005901;2716;1
strassen;16;dispersa;D0;c;0.51867;3104;1
naive;16;dispersa;D10;a;0.005966;2716;1
strassen;16;dispersa;D10;a;0.519868;3104;1
naive;16;dispersa;D10;b;0.005978;2716;1
strassen;16;dispersa;D10;b;0.500235;3104;1
naive;16;dispersa;D10;c;0.005786;2716;1
strassen;16;dispersa;D10;c;0.942227;3104;1
naive;16;diagonal;D0;a;0.005753;2716;1
strassen;16;diagonal;D0;a;0.510864;3104;1
naive;16;diagonal;D0;b;0.005536;2716;1
strassen;16;diagonal;D0;b;0.509108;3104;1
naive;16;diagonal;D0;c;0.005564;2716;1
strassen;16;diagonal;D0;c;0.527498;3104;1
naive;16;diagonal;D10;a;0.00593;2716;1
strassen;16;diagonal;D10;a;0.506751;3104;1
naive;16;diagonal;D10;b;0.005786;2716;1
strassen;16;diagonal;D10;b;0.55961;3104;1
naive;16;diagonal;D10;c;0.005764;2716;1
strassen;16;diagonal;D10;c;0.511781;3104;1
naive;16;densa;D0;a;0.005686;2716;1
strassen;16;densa;D0;a;0.550421;3104;1
naive;16;densa;D0;b;0.005779;2716;1
strassen;16;densa;D0;b;0.517725;3104;1
naive;16;densa;D0;c;0.005512;2716;1
strassen;16;densa;D0;c;0.525928;3104;1
naive;16;densa;D10;a;0.005789;2716;1
strassen;16;densa;D10;a;0.53076;3104;1
naive;16;densa;D10;b;0.005851;2716;1
strassen;16;densa;D10;b;0.504323;3104;1
naive;16;densa;D10;c;0.005808;2716;1
strassen;16;densa;D10;c;0.521809;3104;1
naive;64;dispersa;D0;a;0.083836;2716;1
strassen;64;dispersa;D0;a;24.864;3296;1
naive;64;dispersa;D0;b;0.085203;2716;1
strassen;64;dispersa;D0;b;23.9836;3296;1
