algoritmo;n;tipo;dominio;muestra;tiempo_ms;memoria_kb;correcto
mergesort;10;ascendente;D1;a;0.013963;212;1
patiencesort;10;ascendente;D1;a;0.014285;212;1
quicksort;10;ascendente;D1;a;0.005299;212;1
sort;10;ascendente;D1;a;0.010883;212;1
mergesort;10;ascendente;D1;b;0.014859;216;1
patiencesort;10;ascendente;D1;b;0.015065;216;1
quicksort;10;ascendente;D1;b;0.005246;216;1
sort;10;ascendente;D1;b;0.011998;216;1
mergesort;10;ascendente;D1;c;0.013918;216;1
patiencesort;10;ascendente;D1;c;0.015072;216;1
quicksort;10;ascendente;D1;c;0.005068;216;1
sort;10;ascendente;D1;c;0.01204;216;1
mergesort;10;ascendente;D7;a;0.012325;216;1
patiencesort;10;ascendente;D7;a;0.015621;216;1
quicksort;10;ascendente;D7;a;0.004853;216;1
sort;10;ascendente;D7;a;0.011735;216;1
mergesort;10;ascendente;D7;b;0.012045;216;1
patiencesort;10;ascendente;D7;b;0.014503;216;1
quicksort;10;ascendente;D7;b;0.005131;216;1
sort;10;ascendente;D7;b;0.011633;216;1
mergesort;10;ascendente;D7;c;0.013223;216;1
patiencesort;10;ascendente;D7;c;0.014513;216;1
quicksort;10;ascendente;D7;c;0.005266;216;1
sort;10;ascendente;D7;c;0.012214;216;1
mergesort;10;descendente;D1;a;0.010483;216;1
patiencesort;10;descendente;D1;a;0.011737;216;1
quicksort;10;descendente;D1;a;0.004761;216;1
sort;10;descendente;D1;a;0.008881;216;1
mergesort;10;descendente;D1;b;0.011385;216;1
patiencesort;10;descendente;D1;b;0.01437;216;1
quicksort;10;descendente;D1;b;0.005318;216;1
sort;10;descendente;D1;b;0.010101;216;1
mergesort;10;descendente;D1;c;0.010767;216;1
patiencesort;10;descendente;D1;c;0.013702;216;1
quicksort;10;descendente;D1;c;0.005367;216;1
sort;10;descendente;D1;c;0.009968;216;1
mergesort;10;descendente;D7;a;0.011486;216;1
patiencesort;10;descendente;D7;a;0.013073;216;1
quicksort;10;descendente;D7;a;0.004808;216;1
sort;10;descendente;D7;a;0.009291;216;1
mergesort;10;descendente;D7;b;0.010814;216;1
patiencesort;10;descendente;D7;b;0.012882;216;1
quicksort;10;descendente;D7;b;0.00533;216;1
sort;10;descendente;D7;b;0.009968;216;1
mergesort;10;descendente;D7;c;0.01164;216;1
patiencesort;10;descendente;D7;c;0.013839;216;1
quicksort;10;descendente;D7;c;0.005435;216;1
sort;10;descendente;D7;c;0.009164;216;1
mergesort;10;aleatorio;D1;a;0.013727;216;1
patiencesort;10;aleatorio;D1;a;0.015886;216;1
quicksort;10;aleatorio;D1;a;0.005425;216;1
sort;10;aleatorio;D1;a;0.011224;216;1
mergesort;10;aleatorio;D1;b;0.012283;216;1
patiencesort;10;aleatorio;D1;b;0.012892;216;1
quicksort;10;aleatorio;D1;b;0.004852;216;1
sort;10;aleatorio;D1;b;0.011069;216;1
mergesort;10;aleatorio;D1;c;0.018721;216;1
patiencesort;10;aleatorio;D1;c;0.013967;216;1
quicksort;10;aleatorio;D1;c;0.004825;216;1
sort;10;aleatorio;D1;c;0.012204;216;1
mergesort;10;aleatorio;D7;a;0.013978;216;1
patiencesort;10;aleatorio;D7;a;0.015018;216;1
quicksort;10;aleatorio;D7;a;0.005326;216;1
sort;10;aleatorio;D7;a;0.015422;216;1
mergesort;10;aleatorio;D7;b;0.013806;216;1
patiencesort;10;aleatorio;D7;b;0.014073;216;1
quicksort;10;aleatorio;D7;b;0.004907;216;1
sort;10;aleatorio;D7;b;0.011385;216;1
mergesort;10;aleatorio;D7;c;0.012989;216;1
patiencesort;10;aleatorio;D7;c;0.014071;216;1
quicksort;10;aleatorio;D7;c;0.005052;216;1
sort;10;aleatorio;D7;c;0.012195;216;1
mergesort;1000;ascendente;D1;a;0.039053;228;1
patiencesort;1000;ascendente;D1;a;0.728861;228;1
quicksort;1000;ascendente;D1;a;0.222445;228;1
sort;1000;ascendente;D1;a;0.018636;228;1
mergesort;1000;ascendente;D1;b;0.041828;228;1
patiencesort;1000;ascendente;D1;b;0.727467;228;1
quicksort;1000;ascendente;D1;b;0.22192;228;1
sort;1000;ascendente;D1;b;0.019047;228;1
mergesort;1000;ascendente;D1;c;0.04094;228;1
patiencesort;1000;ascendente;D1;c;0.724834;228;1
quicksort;1000;ascendente;D1;c;0.228271;228;1
sort;1000;ascendente;D1;c;0.017352;228;1
mergesort;1000;ascendente;D7;a;0.036221;228;1
patiencesort;1000;ascendente;D7;a;0.719395;228;1
quicksort;1000;ascendente;D7;a;0.220749;228;1
sort;1000;ascendente;D7;a;0.017638;228;1
mergesort;1000;ascendente;D7;b;0.036544;228;1
patiencesort;1000;ascendente;D7;b;0.729893;228;1
quicksort;1000;ascendente;D7;b;0.221612;228;1
sort;1000;ascendente;D7;b;0.01809;228;1
mergesort;1000;ascendente;D7;c;0.039131;228;1
patiencesort;1000;ascendente;D7;c;0.755744;228;1
quicksort;1000;ascendente;D7;c;0.220629;228;1
sort;1000;ascendente;D7;c;0.017291;228;1
mergesort;1000;descendente;D1;a;0.036705;228;1
patiencesort;1000;descendente;D1;a;0.103531;228;1
quicksort;1000;descendente;D1;a;0.094191;228;1
sort;1000;descendente;D1;a;0.017426;228;1
mergesort;1000;descendente;D1;b;0.036699;228;1
patiencesort;1000;descendente;D1;b;0.102885;228;1
quicksort;1000;descendente;D1;b;0.067879;228;1
sort;1000;descendente;D1;b;0.015752;228;1
mergesort;1000;descendente;D1;c;0.035711;228;1
patiencesort;1000;descendente;D1;c;0.103362;228;1
quicksort;1000;descendente;D1;c;0.049505;228;1
sort;1000;descendente;D1;c;0.017592;228;1
mergesort;1000;descendente;D7;a;0.036536;228;1
patiencesort;1000;descendente;D7;a;0.022598;228;1
quicksort;1000;descendente;D7;a;0.177755;228;1
sort;1000;descendente;D7;a;0.017165;228;1
mergesort;1000;descendente;D7;b;0.037948;228;1
patiencesort;1000;descendente;D7;b;0.020743;228;1
quicksort;1000;descendente;D7;b;0.173151;228;1
sort;1000;descendente;D7;b;0.015987;228;1
mergesort;1000;descendente;D7;c;0.036173;228;1
patiencesort;1000;descendente;D7;c;0.02236;228;1
quicksort;1000;descendente;D7;c;0.174316;228;1
sort;1000;descendente;D7;c;0.015941;228;1
mergesort;1000;aleatorio;D1;a;0.056466;228;1
patiencesort;1000;aleatorio;D1;a;0.119307;228;1
quicksort;1000;aleatorio;D1;a;0.045203;228;1
sort;1000;aleatorio;D1;a;0.026969;228;1
mergesort;1000;aleatorio;D1;b;0.055554;228;1
patiencesort;1000;aleatorio;D1;b;0.124378;228;1
quicksort;1000;aleatorio;D1;b;0.044678;228;1
sort;1000;aleatorio;D1;b;0.02734;228;1
mergesort;1000;aleatorio;D1;c;0.054749;228;1
patiencesort;1000;aleatorio;D1;c;0.1227;228;1
quicksort;1000;aleatorio;D1;c;0.043515;228;1
sort;1000;aleatorio;D1;c;0.027446;228;1
mergesort;1000;aleatorio;D7;a;0.067805;228;1
patiencesort;1000;aleatorio;D7;a;0.094547;228;1
quicksort;1000;aleatorio;D7;a;0.037937;228;1
sort;1000;aleatorio;D7;a;0.040821;228;1
mergesort;1000;aleatorio;D7;b;0.067828;228;1
patiencesort;1000;aleatorio;D7;b;0.094488;228;1
quicksort;1000;aleatorio;D7;b;0.03887;228;1
sort;1000;aleatorio;D7;b;0.040566;228;1
mergesort;1000;aleatorio;D7;c;0.067831;228;1
patiencesort;1000;aleatorio;D7;c;0.094997;228;1
quicksort;1000;aleatorio;D7;c;0.038131;228;1
sort;1000;aleatorio;D7;c;0.041129;228;1
mergesort;100000;ascendente;D1;a;2.73003;2196;1
patiencesort;100000;ascendente;D1;a;13034.2;7072;1
quicksort;100000;ascendente;D1;a;2109.65;2860;1
sort;100000;ascendente;D1;a;0.58487;1892;1
mergesort;100000;ascendente;D1;b;2.57367;1904;1
patiencesort;100000;ascendente;D1;b;14621.4;7592;1
quicksort;100000;ascendente;D1;b;2114.12;2988;1
sort;100000;ascendente;D1;b;0.581608;2016;1
mergesort;100000;ascendente;D1;c;2.55276;1904;1
patiencesort;100000;ascendente;D1;c;14595.5;7592;1
quicksort;100000;ascendente;D1;c;2110.71;2988;1
sort;100000;ascendente;D1;c;0.731109;2016;1
mergesort;100000;ascendente;D7;a;2.67401;1904;1
patiencesort;100000;ascendente;D7;a;14753.8;7592;1
quicksort;100000;ascendente;D7;a;2090.72;2988;1
sort;100000;ascendente;D7;a;0.671104;2016;1
mergesort;100000;ascendente;D7;b;2.60031;1904;1
patiencesort;100000;ascendente;D7;b;14655.6;7592;1
quicksort;100000;ascendente;D7;b;2117.48;2988;1
sort;100000;ascendente;D7;b;0.676068;2016;1
